date,ticker,value
2012-05-18,Meta,38.18948
2012-05-21,Meta,33.993931
2012-05-22,Meta,30.967144
2012-05-23,Meta,31.966084
2012-05-24,Meta,32.994991
2012-05-25,Meta,31.876179
2012-05-28,Meta,31.876179
2012-05-29,Meta,28.809433
2012-05-30,Meta,28.160122
2012-05-31,Meta,29.568628
2012-06-01,Meta,27.690619
2012-06-04,Meta,26.871489
2012-06-05,Meta,25.842581
2012-06-06,Meta,26.781584
2012-06-07,Meta,26.282114
2012-06-08,Meta,27.071278
2012-06-11,Meta,26.981373
2012-06-12,Meta,27.370958
2012-06-13,Meta,27.241096
2012-06-14,Meta,28.260017
2012-06-15,Meta,29.978193
2012-06-18,Meta,31.376709
2012-06-19,Meta,31.876179
2012-06-20,Meta,31.566507
2012-06-21,Meta,31.806253
2012-06-22,Meta,33.014969
2012-06-25,Meta,32.02602
2012-06-26,Meta,33.064915
2012-06-27,Meta,32.195839
2012-06-28,Meta,31.326763
2012-06-29,Meta,31.067038
2012-07-02,Meta,30.737387
2012-07-03,Meta,31.166933
2012-07-04,Meta,31.166933
2012-07-05,Meta,31.436646
2012-07-06,Meta,31.696369
2012-07-09,Meta,32.135902
2012-07-10,Meta,31.436646
2012-07-11,Meta,30.937174
2012-07-12,Meta,30.777344
2012-07-13,Meta,30.687439
2012-07-16,Meta,28.220058
2012-07-17,Meta,28.060228
2012-07-18,Meta,29.079147
2012-07-19,Meta,28.969263
2012-07-20,Meta,28.729517
2012-07-23,Meta,28.719528
2012-07-24,Meta,28.419847
2012-07-25,Meta,29.308903
2012-07-26,Meta,26.821543
2012-07-27,Meta,23.68487
2012-07-30,Meta,23.125463
2012-07-31,Meta,21.686989
2012-08-01,Meta,20.857868
2012-08-02,Meta,20.018761
2012-08-03,Meta,21.067648
2012-08-06,Meta,21.896767
2012-08-07,Meta,20.698038
2012-08-08,Meta,20.698038
2012-08-09,Meta,20.987732
2012-08-10,Meta,21.786882
2012-08-13,Meta,21.577106
2012-08-14,Meta,20.358398
2012-08-15,Meta,21.17753
2012-08-16,Meta,19.84894
2012-08-17,Meta,19.029808
2012-08-20,Meta,19.988792
2012-08-21,Meta,19.139692
2012-08-22,Meta,19.419395
2012-08-23,Meta,19.419395
2012-08-24,Meta,19.389427
2012-08-27,Meta,19.129704
2012-08-28,Meta,19.319502
2012-08-29,Meta,19.079756
2012-08-30,Meta,19.069767
2012-08-31,Meta,18.040857
2012-09-03,Meta,18.040857
2012-09-04,Meta,17.711208
2012-09-05,Meta,18.560307
2012-09-06,Meta,18.939903
2012-09-07,Meta,18.959883
2012-09-10,Meta,18.790064
2012-09-11,Meta,19.409407
2012-09-12,Meta,20.907816
2012-09-13,Meta,20.688049
2012-09-14,Meta,21.976683
2012-09-17,Meta,21.497192
2012-09-18,Meta,21.846821
2012-09-19,Meta,23.265316
2012-09-20,Meta,22.566057
2012-09-21,Meta,22.835772
2012-09-24,Meta,20.767965
2012-09-25,Meta,20.258507
2012-09-26,Meta,20.598146
2012-09-27,Meta,20.298462
2012-09-28,Meta,21.637043
2012-10-01,Meta,21.966692
2012-10-02,Meta,22.246397
2012-10-03,Meta,21.806862
2012-10-04,Meta,21.926737
2012-10-05,Meta,20.887838
2012-10-08,Meta,20.378378
2012-10-09,Meta,20.208557
2012-10-10,Meta,19.619183
2012-10-11,Meta,19.729067
2012-10-12,Meta,19.499311
