date,ticker,value
1984-09-07,aapl,0.0998239
1984-09-10,aapl,0.0992315
1984-09-11,aapl,0.101049
1984-09-12,aapl,0.0980066
1984-09-13,aapl,0.10346
1984-09-14,aapl,0.10495
1984-09-17,aapl,0.107676
1984-09-18,aapl,0.103754
1984-09-19,aapl,0.101641
1984-09-20,aapl,0.101938
1984-09-21,aapl,0.101049
1984-09-24,aapl,0.10013
1984-09-25,aapl,0.0980066
1984-09-26,aapl,0.0968212
1984-09-27,aapl,0.0968212
1984-09-28,aapl,0.0944014
1984-10-01,aapl,0.0922879
1984-10-02,aapl,0.0928905
1984-10-03,aapl,0.0944014
1984-10-04,aapl,0.0955867
1984-10-05,aapl,0.0935026
1984-10-08,aapl,0.0935026
1984-10-09,aapl,0.092594
1984-10-10,aapl,0.0898681
1984-10-11,aapl,0.0892754
1984-10-12,aapl,0.0853445
1984-10-15,aapl,0.0901645
1984-10-16,aapl,0.0898681
1984-10-17,aapl,0.0935026
1984-10-18,aapl,0.096209
1984-10-19,aapl,0.096209
1984-10-22,aapl,0.0955867
1984-10-23,aapl,0.0977102
1984-10-24,aapl,0.0986188
1984-10-25,aapl,0.0950138
1984-10-26,aapl,0.092594
1984-10-29,aapl,0.0928905
1984-10-30,aapl,0.0941151
1984-10-31,aapl,0.0935026
1984-11-01,aapl,0.0941151
1984-11-02,aapl,0.0935026
1984-11-05,aapl,0.0928905
1984-11-06,aapl,0.0986188
1984-11-07,aapl,0.0968212
1984-11-08,aapl,0.0928905
1984-11-09,aapl,0.0874778
1984-11-12,aapl,0.0904804
1984-11-13,aapl,0.0883866
1984-11-14,aapl,0.0892754
1984-11-15,aapl,0.0892754
1984-11-16,aapl,0.0874778
1984-11-19,aapl,0.0823322
1984-11-20,aapl,0.0850383
1984-11-21,aapl,0.0868754
1984-11-22,aapl,0.0868754
1984-11-23,aapl,0.0892754
1984-11-26,aapl,0.0901645
1984-11-27,aapl,0.092594
1984-11-28,aapl,0.0974239
1984-11-29,aapl,0.0955867
1984-11-30,aapl,0.0928905
