variant,silhouette,db,ch
kmeans_k3,0.2245956163335386,1.5511059233018043,1024.6698314335413
kmeans_k4,0.1442389459487235,1.6127997088985557,929.0539333514496
kmeans_k5,0.17019216129304754,1.432821033230669,1015.0769322303914
kmeans_k6,0.19140979470525757,1.48845283861435,988.0999147292525
gmm_k3_full,0.09598626094158622,2.4875760425549136,540.0298772200136
gmm_k4_full,0.1036957992092803,2.627079880501005,447.50657106328333
gmm_k5_full,0.09328921343011454,2.6304152064470117,365.3562610423173
gmm_k6_full,0.10145154640624761,2.7467450112156833,330.0729988971363
agg_ward_k3,0.222510693509257,1.5661445218201813,994.6566776882761
agg_ward_k4,0.22025213025275206,1.3313494891055297,999.4818160918392
agg_ward_k5,0.1547561303265165,1.496584792165857,968.6579170475737
agg_ward_k6,0.175375398607032,1.5495361561586758,925.328608020609
