model,pr_auc,roc_auc,f1,brier,recall_at_p80
logit,0.6590278055656718,0.8459376290621685,0.6322026400346139,0.16502985983518684,0.2414715719063545
svm_lin_cal,0.6571026347499151,0.8452395798748047,0.591408790678701,0.13566957111314992,0.24682274247491637
hgbt,0.6427202263208093,0.8359305028059634,0.5635792055737264,0.1408444941217258,0.15317725752508363
dummy,0.2657777777777778,0.5,0.0,0.2657777777777778,0.0
